,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Kyrie Irving,528,17827,11842,1955,3012,33.8,22.4,3.7,5.7
1,2,Derrick Williams,428,8864,3809,1693,293,20.7,8.9,4.0,0.7
2,3,Enes Kanter,634,13840,7362,4830,539,21.8,11.6,7.6,0.9
3,4,Tristan Thompson,619,17372,5839,5393,624,28.1,9.4,8.7,1.0
4,5,Jonas Valančiūnas,551,13931,6825,4860,500,25.3,12.4,8.8,0.9
5,6,Jan Veselý,162,2455,590,562,96,15.2,3.6,3.5,0.6
6,7,Bismack Biyombo,636,12864,3273,3968,338,20.2,5.1,6.2,0.5
7,8,Brandon Knight,446,13137,6269,1377,1769,29.5,14.1,3.1,4.0
8,9,Kemba Walker,655,22199,13069,2521,3555,33.9,20.0,3.8,5.4
9,10,Jimmer Fredette,241,3213,1438,243,331,13.3,6.0,1.0,1.4
10,11,Klay Thompson,615,20340,11995,2130,1416,33.1,19.5,3.5,2.3
11,12,Alec Burks,488,10664,4980,1566,900,21.9,10.2,3.2,1.8
12,13,Markieff Morris,631,16145,7250,3384,1054,25.6,11.5,5.4,1.7
13,14,Marcus Morris,600,16181,7248,2795,905,27.0,12.1,4.7,1.5
14,15,Kawhi Leonard,518,16047,9620,3323,1377,31.0,18.6,6.4,2.7
15,16,Nikola Vučević,590,17868,9463,6033,1512,30.3,16.0,10.2,2.6
16,17,Iman Shumpert,459,11459,3318,1533,845,25.0,7.2,3.3,1.8
17,18,Chris Singleton,148,2605,612,472,92,17.6,4.1,3.2,0.6
18,19,Tobias Harris,611,18835,9694,3690,1234,30.8,15.9,6.0,2.0
19,20,Donatas Motiejūnas,251,4566,1832,952,269,18.2,7.3,3.8,1.1
20,21,Nolan Smith,84,829,277,83,97,9.9,3.3,1.0,1.2
21,22,Kenneth Faried,478,11728,5430,3884,470,24.5,11.4,8.1,1.0
22,23,Nikola Mirotić,319,7718,3910,1894,407,24.2,12.3,5.9,1.3
23,24,Reggie Jackson,553,13933,7129,1634,2431,25.2,12.9,3.0,4.4
24,25,MarShon Brooks,200,3456,1592,424,282,17.3,8.0,2.1,1.4
25,26,Jordan Hamilton,151,2100,890,429,127,13.9,5.9,2.8,0.8
26,27,JaJuan Johnson,36,298,114,58,6,8.3,3.2,1.6,0.2
27,28,Norris Cole,360,8018,2506,702,981,22.3,7.0,2.0,2.7
28,29,Cory Joseph,592,12894,4070,1526,1703,21.8,6.9,2.6,2.9
29,30,Jimmy Butler,577,19080,9823,2936,2136,33.1,17.0,5.1,3.7
30,31,Bojan Bogdanović,462,13172,6570,1607,689,28.5,14.2,3.5,1.5
31,32,Justin Harper,22,150,45,18,4,6.8,2.0,0.8,0.2
32,33,Kyle Singler,356,7794,2326,1026,272,21.9,6.5,2.9,0.8
33,34,Shelvin Mack,456,8392,2997,894,1421,18.4,6.6,2.0,3.1
34,35,Tyler Honeycutt,24,120,28,24,9,5.0,1.2,1.0,0.4
35,36,Jordan Williams,43,635,197,156,11,14.8,4.6,3.6,0.3
36,37,Trey Thompkins,24,119,57,24,3,5.0,2.4,1.0,0.1
37,38,Chandler Parsons,440,13246,5571,1972,1201,30.1,12.7,4.5,2.7
38,39,Jeremy Tyler,104,1034,373,269,25,9.9,3.6,2.6,0.2
39,40,Jon Leuer,377,5945,2395,1426,301,15.8,6.4,3.8,0.8
40,41,Darius Morris,132,1464,430,126,189,11.1,3.3,1.0,1.4
41,42,Dāvis Bertāns,274,5109,2199,760,312,18.6,8.0,2.8,1.1
42,43,Malcolm Lee,36,534,140,65,51,14.8,3.9,1.8,1.4
43,44,Charles Jenkins,110,1334,408,100,214,12.1,3.7,0.9,1.9
44,45,Josh Harrellson,75,888,265,227,26,11.8,3.5,3.0,0.3
45,46,Andrew Goudelock,49,475,197,34,24,9.7,4.0,0.7,0.5
46,47,Travis Leslie,10,45,14,9,5,4.5,1.4,0.9,0.5
47,48,Keith Benson,3,9,0,3,0,3.0,0.0,1.0,0.0
48,49,Josh Selby,38,296,83,20,34,7.8,2.2,0.5,0.9
49,50,Lavoy Allen,388,6905,1847,1843,384,17.8,4.8,4.8,1.0
50,51,Jon Diebler,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,52,Vernon Macklin,23,135,46,34,5,5.9,2.0,1.5,0.2
52,53,DeAndre Liggins,177,1907,346,252,122,10.8,2.0,1.4,0.7
53,54,Milan Mačvan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,55,E'Twaun Moore,566,12113,4581,1155,1010,21.4,8.1,2.0,1.8
55,56,Chukwudiebere Maduabum,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58
57,Ater Majok,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59
58,Ádám Hanga,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
59,Isaiah Thomas,525,15182,9508,1288,2599,28.9,18.1,2.5,5.0,
