,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Anthony Davis,521,17997,12526,5423,1154,34.5,24.0,10.4,2.2
1,2,Michael Kidd-Gilchrist,442,10928,3742,2408,514,24.7,8.5,5.4,1.2
2,3,Bradley Beal,545,18832,11425,2169,2171,34.6,21.0,4.0,4.0
3,4,Dion Waiters,412,11670,5422,1095,1146,28.3,13.2,2.7,2.8
4,5,Thomas Robinson,313,4204,1528,1507,190,13.4,4.9,4.8,0.6
5,6,Damian Lillard,607,22047,14586,2539,3932,36.3,24.0,4.2,6.5
6,7,Harrison Barnes,604,18823,8263,2951,982,31.2,13.7,4.9,1.6
7,8,Terrence Ross,555,13665,6093,1569,609,24.6,11.0,2.8,1.1
8,9,Andre Drummond,599,18590,8671,8288,778,31.0,14.5,13.8,1.3
9,10,Austin Rivers,544,13325,4964,1130,1250,24.5,9.1,2.1,2.3
10,11,Meyers Leonard,442,7082,2483,1718,391,16.0,5.6,3.9,0.9
11,12,Jeremy Lamb,481,10196,5032,1788,770,21.2,10.5,3.7,1.6
12,13,Kendall Marshall,160,3083,802,253,779,19.3,5.0,1.6,4.9
13,14,John Henson,445,8752,3383,2368,496,19.7,7.6,5.3,1.1
14,15,Maurice Harkless,537,12384,3848,1997,505,23.1,7.2,3.7,0.9
15,16,Royce White,3,9,0,0,0,3.0,0.0,0.0,0.0
16,17,Tyler Zeller,412,7250,2871,1816,367,17.6,7.0,4.4,0.9
17,18,Terrence Jones,234,5562,2431,1334,238,23.8,10.4,5.7,1.0
18,19,Andrew Nicholson,285,4080,1700,857,126,14.3,6.0,3.0,0.4
19,20,Evan Fournier,518,14713,7306,1419,1344,28.4,14.1,2.7,2.6
20,21,Jared Sullinger,269,6532,2893,2006,477,24.3,10.8,7.5,1.8
21,22,Fab Melo,6,36,7,3,0,6.0,1.2,0.5,0.0
22,23,John Jenkins,171,2183,855,250,138,12.8,5.0,1.5,0.8
23,24,Jared Cunningham,84,605,197,56,39,7.2,2.3,0.7,0.5
24,25,Tony Wroten,145,3076,1604,363,437,21.2,11.1,2.5,3.0
25,26,Miles Plumlee,346,5658,1697,1562,178,16.4,4.9,4.5,0.5
26,27,Arnett Moultrie,59,729,210,180,12,12.4,3.6,3.1,0.2
27,28,Perry Jones,143,1675,488,252,54,11.7,3.4,1.8,0.4
28,29,Marquis Teague,91,909,217,90,134,10.0,2.4,1.0,1.5
29,30,Festus Ezeli,170,2394,712,725,63,14.1,4.2,4.3,0.4
30,31,Jeffery Taylor,132,2566,807,263,107,19.4,6.1,2.0,0.8
31,32,Tomáš Satoranský,275,6404,2031,849,1131,23.3,7.4,3.1,4.1
32,33,Bernard James,92,761,203,212,13,8.3,2.2,2.3,0.1
33,34,Jae Crowder,601,14848,5739,2474,921,24.7,9.5,4.1,1.5
34,35,Draymond Green,576,16201,5170,3966,2855,28.1,9.0,6.9,5.0
35,36,Orlando Johnson,103,1112,329,180,69,10.8,3.2,1.7,0.7
36,37,Quincy Acy,337,5392,1642,1179,217,16.0,4.9,3.5,0.6
37,38,Quincy Miller,69,934,295,169,37,13.5,4.3,2.4,0.5
38,39,Khris Middleton,510,16082,8288,2363,1693,31.5,16.3,4.6,3.3
39,40,Will Barton,496,12110,5492,2089,1248,24.4,11.1,4.2,2.5
40,41,Tyshawn Taylor,61,491,174,33,57,8.0,2.9,0.5,0.9
41,42,Doron Lamb,100,1272,345,95,75,12.7,3.5,1.0,0.8
42,43,Mike Scott,499,8242,3473,1584,451,16.5,7.0,3.2,0.9
43,44,Kim English,41,407,119,37,26,9.9,2.9,0.9,0.6
44,45,Justin Hamilton,113,1961,687,403,91,17.4,6.1,3.6,0.8
45,46,Darius Miller,253,5161,1524,423,346,20.4,6.0,1.7,1.4
46,47,Kevin Murphy,17,52,15,4,2,3.1,0.9,0.2,0.1
47,48,Kostas Papanikolaou,69,1089,249,158,101,15.8,3.6,2.3,1.5
48,49,Kyle O'Quinn,469,6659,2553,2148,627,14.2,5.4,4.6,1.3
49,50,İzzet Türkyılmaz,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,51,Kris Joseph,10,54,9,7,1,5.4,0.9,0.7,0.1
51,52,Ognjen Kuzmić,37,164,35,38,8,4.4,0.9,1.0,0.2
52,53,Furkan Aldemir,41,540,93,176,28,13.2,2.3,4.3,0.7
53,54,Tornike Shengelia,45,247,59,39,17,5.5,1.3,0.9,0.4
54,55,Darius Johnson-Odom,7,21,0,6,2,3.0,0.0,0.9,0.3
55,56,Tomislav Zubčić,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,57,İlkan Karaman,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,58,Robbie Hummel,98,1397,379,266,50,14.3,3.9,2.7,0.5
58,59,Marcus Denmon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,60,Robert Sacre,189,2745,787,593,126,14.5,4.2,3.1,0.7
