,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Deandre Ayton,101,3179,1729,1089,182,31.5,17.1,10.8,1.8
1,2,Marvin Bagley,75,1901,1108,568,72,25.3,14.8,7.6,1.0
2,3,Luka Dončić,126,4117,3075,1065,899,32.7,24.4,8.5,7.1
3,4,Jaren Jackson,112,3027,1712,526,140,27.0,15.3,4.7,1.3
4,5,Trae Young,141,4623,3327,556,1213,32.8,23.6,3.9,8.6
5,6,Mohamed Bamba,107,1634,624,532,81,15.3,5.8,5.0,0.8
6,7,Wendell Carter,87,2366,939,712,129,27.2,10.8,8.2,1.5
7,8,Collin Sexton,147,4748,2720,440,435,32.3,18.5,3.0,3.0
8,9,Kevin Knox,140,3324,1382,519,143,23.7,9.9,3.7,1.0
9,10,Mikal Bridges,147,4189,1249,523,288,28.5,8.5,3.6,2.0
10,11,Shai Gilgeous-Alexander,145,4388,2105,616,478,30.3,14.5,4.2,3.3
11,12,Miles Bridges,145,3691,1440,685,209,25.5,9.9,4.7,1.4
12,13,Jerome Robinson,88,1068,313,147,84,12.1,3.6,1.7,1.0
13,14,Michael Porter,48,670,358,199,35,14.0,7.5,4.1,0.7
14,15,Troy Brown,113,2249,842,470,222,19.9,7.5,4.2,2.0
15,16,Zhaire Smith,13,143,48,15,12,11.0,3.7,1.2,0.9
16,17,Donte DiVincenzo,86,1773,685,354,167,20.6,8.0,4.1,1.9
17,18,Lonnie Walker,70,885,344,132,55,12.6,4.9,1.9,0.8
18,19,Kevin Huerter,131,3808,1411,473,427,29.1,10.8,3.6,3.3
19,20,Josh Okogie,136,3304,1103,486,190,24.3,8.1,3.6,1.4
20,21,Grayson Allen,68,914,432,89,68,13.4,6.4,1.3,1.0
21,22,Chandler Hutchison,72,1422,447,293,60,19.8,6.2,4.1,0.8
22,23,Aaron Holiday,108,2014,840,199,280,18.6,7.8,1.8,2.6
23,24,Anfernee Simons,85,1541,647,160,108,18.1,7.6,1.9,1.3
24,25,Moritz Wagner,80,1153,559,277,73,14.4,7.0,3.5,0.9
25,26,Landry Shamet,126,3096,1176,224,204,24.6,9.3,1.8,1.6
26,27,Robert Williams,55,606,179,189,29,11.0,3.3,3.4,0.5
27,28,Jacob Evans,59,622,168,66,54,10.5,2.8,1.1,0.9
28,29,Džanan Musa,44,443,167,76,33,10.1,3.8,1.7,0.8
29,30,Omari Spellman,95,1691,642,413,94,17.8,6.8,4.3,1.0
30,31,Élie Okobo,107,1665,519,186,240,15.6,4.9,1.7,2.2
31,32,Jevon Carter,89,1331,403,164,134,15.0,4.5,1.8,1.5
32,33,Jalen Brunson,130,2613,1144,303,418,20.1,8.8,2.3,3.2
33,34,Devonte' Graham,109,2887,1362,275,592,26.5,12.5,2.5,5.4
34,35,Melvin Frazier,25,95,33,9,2,3.8,1.3,0.4,0.1
35,36,Mitchell Robinson,127,2772,1075,851,73,21.8,8.5,6.7,0.6
36,37,Gary Trent,68,1170,446,99,55,17.2,6.6,1.5,0.8
37,38,Khyri Thomas,34,256,78,21,11,7.5,2.3,0.6,0.3
38,39,Isaac Bonga,80,1145,285,208,76,14.3,3.6,2.6,1.0
39,40,Rodions Kurucs,102,1795,696,343,85,17.6,6.8,3.4,0.8
40,41,Jarred Vanderbilt,28,115,36,32,5,4.1,1.3,1.1,0.2
41,42,Bruce Brown,132,3083,836,459,321,23.4,6.3,3.5,2.4
42,43,Justin Jackson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,44,Issuf Sanon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,45,Hamidou Diallo,89,1225,423,219,39,13.8,4.8,2.5,0.4
45,46,De'Anthony Melton,102,1995,670,327,316,19.6,6.6,3.2,3.1
46,47,Sviatoslav Mykhailiuk,98,1705,637,140,143,17.4,6.5,1.4,1.5
47,48,Keita Bates-Diop,69,1168,409,195,47,16.9,5.9,2.8,0.7
48,49,Chimezie Metu,45,218,97,62,19,4.8,2.2,1.4,0.4
49,50,Alize Johnson,27,118,31,37,3,4.4,1.1,1.4,0.1
50,51,Tony Carr,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,52,Vince Edwards,2,16,3,2,0,8.0,1.5,1.0,0.0
52,53,Devon Hall,5,20,5,1,3,4.0,1.0,0.2,0.6
53,54,Shake Milton,52,879,390,103,89,16.9,7.5,2.0,1.7
54,55,Arnoldas Kulboka,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,56,Ray Spalding,14,148,54,48,5,10.6,3.9,3.4,0.4
56,57,Kevin Hervey,7,19,2,2,1,2.7,0.3,0.3,0.1
57,58,Thomas Welsh,11,36,18,4,5,3.3,1.6,0.4,0.5
58,59,George King,1,6,0,1,0,6.0,0.0,1.0,0.0
59,60,Kostas Antetokounmpo,5,16,2,2,1,3.2,0.4,0.4,0.2
