,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Andrew Wiggins,454,16242,8943,1977,1065,35.8,19.7,4.4,2.3
1,2,Jabari Parker,280,8193,4208,1614,585,29.3,15.0,5.8,2.1
2,3,Joel Embiid,202,6181,4864,2324,636,30.6,24.1,11.5,3.1
3,4,Aaron Gordon,399,11414,5082,2553,951,28.6,12.7,6.4,2.4
4,5,Dante Exum,239,4429,1366,424,502,18.5,5.7,1.8,2.1
5,6,Marcus Smart,394,11409,3888,1409,1594,29.0,9.9,3.6,4.0
6,7,Julius Randle,375,10934,6032,3375,1045,29.2,16.1,9.0,2.8
7,8,Nik Stauskas,335,6662,2272,688,513,19.9,6.8,2.1,1.5
8,9,Noah Vonleh,332,5659,1655,1740,255,17.0,5.0,5.2,0.8
9,10,Elfrid Payton,387,11350,4247,1703,2566,29.3,11.0,4.4,6.6
10,11,Doug McDermott,403,8040,3302,882,339,20.0,8.2,2.2,0.8
11,12,Dario Šarić,298,7903,3625,1835,620,26.5,12.2,6.2,2.1
12,13,Zach LaVine,353,10857,6240,1279,1275,30.8,17.7,3.6,3.6
13,14,T.J. Warren,322,9218,4894,1320,380,28.6,15.2,4.1,1.2
14,15,Adreian Payne,107,1403,429,315,66,13.1,4.0,2.9,0.6
15,16,Jusuf Nurkić,310,7103,3608,2480,589,22.9,11.6,8.0,1.9
16,17,James Young,95,812,219,96,28,8.5,2.3,1.0,0.3
17,18,Tyler Ennis,186,2336,779,250,359,12.6,4.2,1.3,1.9
18,19,Gary Harris,368,10663,4459,961,779,29.0,12.1,2.6,2.1
19,20,Bruno Caboclo,96,1233,407,247,71,12.8,4.2,2.6,0.7
20,21,Mitch McGary,52,557,227,183,17,10.7,4.4,3.5,0.3
21,22,Jordan Adams,32,263,101,30,19,8.2,3.2,0.9,0.6
22,23,Rodney Hood,341,9326,4247,980,645,27.3,12.5,2.9,1.9
23,24,Shabazz Napier,340,5876,2382,645,840,17.3,7.0,1.9,2.5
24,25,Clint Capela,334,8674,4075,3243,324,26.0,12.2,9.7,1.0
25,26,P.J. Hairston,111,2000,664,266,59,18.0,6.0,2.4,0.5
26,27,Bogdan Bogdanović,201,5632,2674,637,694,28.0,13.3,3.2,3.5
27,28,C.J. Wilcox,66,376,132,31,30,5.7,2.0,0.5,0.5
28,29,Josh Huestis,76,1068,187,180,23,14.1,2.5,2.4,0.3
29,30,Kyle Anderson,359,7022,1936,1428,704,19.6,5.4,4.0,2.0
30,31,Damien Inglis,20,156,36,31,10,7.8,1.8,1.6,0.5
31,32,K.J. McDaniels,148,2092,782,324,95,14.1,5.3,2.2,0.6
32,33,Joe Harris,325,7860,3332,1014,521,24.2,10.3,3.1,1.6
33,34,Cleanthony Early,56,801,241,123,42,14.3,4.3,2.2,0.8
34,35,Jarnell Stokes,28,151,67,40,7,5.4,2.4,1.4,0.3
35,36,Johnny O'Bryant,147,1684,509,352,69,11.5,3.5,2.4,0.5
36,37,DeAndre Daniels,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,38,Spencer Dinwiddie,317,8162,4103,875,1578,25.7,12.9,2.8,5.0
38,39,Jerami Grant,447,10909,4111,1727,475,24.4,9.2,3.9,1.1
39,40,Glenn Robinson,279,4887,1664,721,218,17.5,6.0,2.6,0.8
40,41,Nikola Jokić,373,10819,6319,3609,2032,29.0,16.9,9.7,5.4
41,42,Nick Johnson,28,262,74,39,11,9.4,2.6,1.4,0.4
42,43,Edy Tavares,13,101,33,32,4,7.8,2.5,2.5,0.3
43,44,Markel Brown,113,1794,584,234,132,15.9,5.2,2.1,1.2
44,45,Dwight Powell,371,6956,2867,1711,364,18.7,7.7,4.6,1.0
45,46,Jordan Clarkson,445,12054,6573,1404,1152,27.1,14.8,3.2,2.6
46,47,Russ Smith,27,131,53,15,19,4.9,2.0,0.6,0.7
47,48,Lamar Patterson,40,435,93,57,45,10.9,2.3,1.4,1.1
48,49,Cameron Bairstow,36,167,44,36,7,4.6,1.2,1.0,0.2
49,50,Alec Brown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,51,Thanasis Antetokounmpo,20,99,51,20,9,5.0,2.6,1.0,0.5
51,52,Vasilije Micić,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,53,Alessandro Gentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,54,Nemanja Dangubić,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,55,Semaj Christon,64,973,183,87,130,15.2,2.9,1.4,2.0
55,56,Devyn Marble,44,457,97,69,29,10.4,2.2,1.6,0.7
56,57,Louis Labeyrie,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,58,Jordan McRae,123,1696,846,225,167,13.8,6.9,1.8,1.4
58,59,Xavier Thames,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,60,Cory Jefferson,58,581,205,161,16,10.0,3.5,2.8,0.3
