,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Kwame Brown,607,13389,4035,3333,554,22.1,6.6,5.5,0.9
1,2,Tyson Chandler,1160,31617,9509,10467,967,27.3,8.2,9.0,0.8
2,3,Pau Gasol,1226,41001,20894,11305,3925,33.4,17.0,9.2,3.2
3,4,Eddy Curry,527,13109,6820,2725,287,24.9,12.9,5.2,0.5
4,5,Jason Richardson,857,29241,14644,4245,2284,34.1,17.1,5.0,2.7
5,6,Shane Battier,977,30004,8408,4082,1717,30.7,8.6,4.2,1.8
6,7,Eddie Griffin,303,6729,2171,1744,236,22.2,7.2,5.8,0.8
7,8,DeSagana Diop,601,8403,1185,2219,270,14.0,2.0,3.7,0.4
8,9,Rodney White,218,3354,1540,485,237,15.4,7.1,2.2,1.1
9,10,Joe Johnson,1276,44234,20405,5059,5001,34.7,16.0,4.0,3.9
10,11,Kedrick Brown,143,1935,509,347,103,13.5,3.6,2.4,0.7
11,12,Vladimir Radmanović,737,16164,5879,2784,998,21.9,8.0,3.8,1.4
12,13,Richard Jefferson,1181,34293,14904,4720,2412,29.0,12.6,4.0,2.0
13,14,Troy Murphy,729,19921,7860,5708,1088,27.3,10.8,7.8,1.5
14,15,Steven Hunter,400,5993,1817,1264,79,15.0,4.5,3.2,0.2
15,16,Kirk Haston,27,134,32,27,8,5.0,1.2,1.0,0.3
16,17,Michael Bradley,173,2016,483,591,93,11.7,2.8,3.4,0.5
17,18,Jason Collins,735,14974,2621,2706,626,20.4,3.6,3.7,0.9
18,19,Zach Randolph,1116,34616,18578,10208,2049,31.0,16.6,9.1,1.8
19,20,Brendan Haywood,816,18680,5538,4875,442,22.9,6.8,6.0,0.5
20,21,Joseph Forte,25,125,30,17,17,5.0,1.2,0.7,0.7
21,22,Jeryl Sasser,82,1061,204,191,67,12.9,2.5,2.3,0.8
22,23,Brandon Armstrong,108,699,239,63,24,6.5,2.2,0.6,0.2
23,24,Raül López,113,2135,733,194,428,18.9,6.5,1.7,3.8
24,25,Gerald Wallace,832,24731,9933,4838,1725,29.7,11.9,5.8,2.1
25,26,Samuel Dalembert,886,21646,6814,6942,465,24.4,7.7,7.8,0.5
26,27,Jamaal Tinsley,547,14443,4652,1605,3330,26.4,8.5,2.9,6.1
27,28,Tony Parker,1254,38279,19473,3396,7036,30.5,15.5,2.7,5.6
28,30,Trenton Hassell,644,16278,3741,1826,1132,25.3,5.8,2.8,1.8
29,31,Gilbert Arenas,552,19351,11402,2168,2909,35.1,20.7,3.9,5.3
30,32,Omar Cook,22,213,37,13,46,9.7,1.7,0.6,2.1
31,33,Will Solomon,115,1584,584,132,225,13.8,5.1,1.1,2.0
32,34,Terence Morris,139,1934,472,377,93,13.9,3.4,2.7,0.7
33,35,Brian Scalabrine,520,6772,1594,1034,436,13.0,3.1,2.0,0.8
34,36,Jeff Trepagnier,31,270,88,43,22,8.7,2.8,1.4,0.7
35,37,Damone Brown,39,351,108,52,19,9.0,2.8,1.3,0.5
36,38,Mehmet Okur,634,18429,8561,4436,1089,29.1,13.5,7.0,1.7
37,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40
38,Earl Watson,878,19494,5593,1985,3871,22.2,6.4,2.3,4.4,41
39,Jamison Brewer,54,468,89,50,56,8.7,1.6,0.9,1.0,42
40,Bobby Simmons,466,11513,4189,1791,710,24.7,9.0,3.8,1.5,43
41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,NaN
42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,Sean Lampley,45
43,550,203,94,33,12.2,4.5,2.1,0.7,46,Loren Woods,215
44,2428,555,682,74,11.3,2.6,3.2,0.3,47,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,Antonis Fotsis,28,320
46,108,62,10,11.4,3.9,2.2,0.4,49,Ken Johnson,16,156
47,32,32,0,9.8,2.0,2.0,0.0,50,Ruben Boumtje-Boumtje,44,276
48,43,57,6,6.3,1.0,1.3,0.1,51,Alton Ford,73,524
49,186,124,11,7.2,2.5,1.7,0.2,52,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,53,Jarron Collins,542,8542,2095
51,1579,419,15.8,3.9,2.9,0.8,54,Kenny Satterfield,75,1062,321
52,95,176,14.2,4.3,1.3,2.3,55,NaN,NaN,NaN,NaN
53,NaN,NaN,NaN,NaN,NaN,56,Robertas Javtokas,NaN,NaN,NaN,NaN
54,NaN,NaN,NaN,NaN,NaN,57,Alvin Jones,23,126,26,36
55,3,5.5,1.1,1.6,0.1,58,NaN,NaN,NaN,NaN,NaN
56,NaN,NaN,NaN,NaN,,,,,,,
