,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Markelle Fultz,97,2493,1027,326,446,25.7,10.6,3.4,4.6
1,2,Lonzo Ball,155,5020,1688,959,1023,32.4,10.9,6.2,6.6
2,3,Jayson Tatum,218,6936,3745,1297,470,31.8,17.2,5.9,2.2
3,4,Josh Jackson,174,4304,2110,756,333,24.7,12.1,4.3,1.9
4,5,De'Aaron Fox,199,5998,3163,689,1214,30.1,15.9,3.5,6.1
5,6,Jonathan Isaac,134,3481,1249,732,142,26.0,9.3,5.5,1.1
6,7,Lauri Markkanen,170,5194,2744,1291,228,30.6,16.1,7.6,1.3
7,8,Frank Ntilikina,178,3797,1066,385,543,21.3,6.0,2.2,3.1
8,9,Dennis Smith,156,4094,1957,493,708,26.2,12.5,3.2,4.5
9,10,Zach Collins,146,2487,831,557,129,17.0,5.7,3.8,0.9
10,11,Malik Monk,191,3281,1638,360,322,17.2,8.6,1.9,1.7
11,12,Luke Kennard,164,3822,1613,457,353,23.3,9.8,2.8,2.2
12,13,Donovan Mitchell,219,7401,4970,888,877,33.8,22.7,4.1,4.0
13,14,Bam Adebayo,216,5516,2259,1661,618,25.5,10.5,7.7,2.9
14,15,Justin Jackson,207,4049,1365,541,219,19.6,6.6,2.6,1.1
15,16,Justin Patton,9,49,16,11,5,5.4,1.8,1.2,0.6
16,17,D.J. Wilson,101,1233,401,300,77,12.2,4.0,3.0,0.8
17,18,T.J. Leaf,136,1174,453,271,39,8.6,3.3,2.0,0.3
18,19,John Collins,176,4977,2850,1552,279,28.3,16.2,8.8,1.6
19,20,Harry Giles,96,1399,673,381,134,14.6,7.0,4.0,1.4
20,21,Terrance Ferguson,185,3864,911,261,136,20.9,4.9,1.4,0.7
21,22,Jarrett Allen,216,5184,2141,1665,244,24.0,9.9,7.7,1.1
22,23,OG Anunoby,204,4730,1582,722,201,23.2,7.8,3.5,1.0
23,24,Tyler Lydon,26,96,23,18,6,3.7,0.9,0.7,0.2
24,25,Anžejs Pasečņiks,24,405,144,99,17,16.9,6.0,4.1,0.7
25,26,Caleb Swanigan,75,655,169,218,56,8.7,2.3,2.9,0.7
26,27,Kyle Kuzma,201,6042,3224,1107,388,30.1,16.0,5.5,1.9
27,28,Tony Bradley,62,600,258,242,19,9.7,4.2,3.9,0.3
28,29,Derrick White,145,3335,1350,466,478,23.0,9.3,3.2,3.3
29,30,Josh Hart,187,4739,1600,881,267,25.3,8.6,4.7,1.4
30,31,Frank Jackson,112,1825,780,205,110,16.3,7.0,1.8,1.0
31,32,Davon Reed,31,289,75,45,16,9.3,2.4,1.5,0.5
32,33,Wesley Iwundu,175,3063,805,434,176,17.5,4.6,2.5,1.0
33,34,Frank Mason,96,1472,622,181,242,15.3,6.5,1.9,2.5
34,35,Ivan Rabb,85,1237,485,364,86,14.6,5.7,4.3,1.0
35,36,Jonah Bolden,51,686,217,174,40,13.5,4.3,3.4,0.8
36,37,Semi Ojeleye,190,2635,572,371,74,13.9,3.0,2.0,0.4
37,38,Jordan Bell,154,1853,578,472,194,12.0,3.8,3.1,1.3
38,39,Jawun Evans,56,843,237,96,110,15.1,4.2,1.7,2.0
39,40,Dwayne Bacon,135,2159,715,313,137,16.0,5.3,2.3,1.0
40,41,Tyler Dorsey,104,1672,701,243,135,16.1,6.7,2.3,1.3
41,42,Thomas Bryant,125,2469,1240,731,169,19.8,9.9,5.8,1.4
42,43,Isaiah Hartenstein,51,487,160,137,33,9.5,3.1,2.7,0.6
43,44,Damyean Dotson,165,3314,1282,437,223,20.1,7.8,2.6,1.4
44,45,Dillon Brooks,165,4531,2053,501,279,27.5,12.4,3.0,1.7
45,46,Sterling Brown,157,2475,812,492,155,15.8,5.2,3.1,1.0
46,47,Ike Anigbogu,14,36,13,12,1,2.6,0.9,0.9,0.1
47,48,Sindarius Thornwell,137,1469,344,184,86,10.7,2.5,1.3,0.6
48,49,Vlatko Čančar,14,45,17,10,3,3.2,1.2,0.7,0.2
49,50,Mathias Lessort,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,51,Monte Morris,150,3397,1410,308,534,22.6,9.4,2.1,3.6
51,52,Edmond Sumner,49,557,182,62,49,11.4,3.7,1.3,1.0
52,53,Kadeem Allen,47,640,258,71,109,13.6,5.5,1.5,2.3
53,54,Alec Peters,20,225,82,37,12,11.3,4.1,1.9,0.6
54,55,Nigel Williams-Goss,9,28,4,5,5,3.1,0.4,0.6,0.6
55,56,Jabari Bird,13,115,39,19,8,8.8,3.0,1.5,0.6
56,57,Aleksandar Vezenkov,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,58,Ognjen Jaramaz,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,59,Jaron Blossomgame,27,439,114,98,13,16.3,4.2,3.6,0.5
59,60,Alpha Kaba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
