,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Karl-Anthony Towns,358,12307,8113,4209,992,34.4,22.7,11.8,2.8
1,2,D'Angelo Russell,317,9204,5532,1176,1666,29.0,17.5,3.7,5.3
2,3,Jahlil Okafor,218,4437,2392,1095,211,20.4,11.0,5.0,1.0
3,4,Kristaps Porziņģis,237,7361,4293,1800,337,31.1,18.1,7.6,1.4
4,5,Mario Hezonja,324,6003,2253,1004,407,18.5,7.0,3.1,1.3
5,6,Willie Cauley-Stein,349,8187,3361,2194,553,23.5,9.6,6.3,1.6
6,7,Emmanuel Mudiay,294,7078,3252,873,1130,24.1,11.1,3.0,3.8
7,8,Stanley Johnson,305,6256,2008,986,431,20.5,6.6,3.2,1.4
8,9,Frank Kaminsky,314,6970,3110,1280,523,22.2,9.9,4.1,1.7
9,10,Justise Winslow,241,6848,2181,1295,657,28.4,9.0,5.4,2.7
10,11,Myles Turner,335,9491,4255,2229,410,28.3,12.7,6.7,1.2
11,12,Trey Lyles,351,6322,2602,1488,375,18.0,7.4,4.2,1.1
12,13,Devin Booker,334,11186,7439,1203,1562,33.5,22.3,3.6,4.7
13,14,Cameron Payne,153,2454,914,274,382,16.0,6.0,1.8,2.5
14,15,Kelly Oubre,348,8375,3783,1443,327,24.1,10.9,4.1,0.9
15,16,Terry Rozier,335,7597,3224,1249,890,22.7,9.6,3.7,2.7
16,17,Rashad Vaughn,139,1671,423,158,75,12.0,3.0,1.1,0.5
17,18,Sam Dekker,200,3096,1094,607,160,15.5,5.5,3.0,0.8
18,19,Jerian Grant,273,4918,1665,524,796,18.0,6.1,1.9,2.9
19,20,Delon Wright,263,5219,1935,808,756,19.8,7.4,3.1,2.9
20,21,Justin Anderson,219,2874,1157,556,143,13.1,5.3,2.5,0.7
21,22,Bobby Portis,315,6437,3215,1872,380,20.4,10.2,5.9,1.2
22,23,Rondae Hollis-Jefferson,286,6528,2690,1629,550,22.8,9.4,5.7,1.9
23,24,Tyus Jones,312,5606,1733,483,1108,18.0,5.6,1.5,3.6
24,25,Jarell Martin,184,2927,998,639,114,15.9,5.4,3.5,0.6
25,26,Nikola Milutinov,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,27,Larry Nance,315,7396,2562,2094,559,23.5,8.1,6.6,1.8
27,28,R.J. Hunter,45,395,133,46,19,8.8,3.0,1.0,0.4
28,29,Chris McCullough,59,532,194,112,15,9.0,3.3,1.9,0.3
29,30,Kevon Looney,224,3121,979,832,214,13.9,4.4,3.7,1.0
30,31,Cedi Osman,202,5026,1947,708,390,24.9,9.6,3.5,1.9
31,32,Montrezl Harrell,318,6643,4037,1570,424,20.9,12.7,4.9,1.3
32,33,Jordan Mickey,64,482,152,128,17,7.5,2.4,2.0,0.3
33,34,Anthony Brown,41,762,161,103,28,18.6,3.9,2.5,0.7
34,35,Willy Hernangómez,209,3006,1444,1130,218,14.4,6.9,5.4,1.0
35,36,Rakeem Christmas,30,225,63,57,4,7.5,2.1,1.9,0.1
36,37,Richaun Holmes,265,4950,2229,1313,251,18.7,8.4,5.0,0.9
37,38,Darrun Hilliard,91,859,295,85,71,9.4,3.2,0.9,0.8
38,39,Juan Pablo Vaulet,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,40,Josh Richardson,307,9423,3797,985,890,30.7,12.4,3.2,2.9
40,41,Pat Connaughton,277,4327,1305,762,346,15.6,4.7,2.8,1.2
41,42,Olivier Hanlan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,43,Joe Young,127,1077,429,130,119,8.5,3.4,1.0,0.9
43,44,Andrew Harrison,145,2987,1012,287,399,20.6,7.0,2.0,2.8
44,45,Marcus Thornton,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,46,Norman Powell,299,5550,2531,699,387,18.6,8.5,2.3,1.3
46,47,Artūras Gudaitis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,48,Dakari Johnson,31,161,55,34,8,5.2,1.8,1.1,0.3
48,49,Aaron White,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,50,Marcus Eriksson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,51,Tyler Harvey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,52,Satnam Singh Bhamara,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,53,Sir'Dominic Pointer,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,54,Dani Díez de la Faya,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,55,Cady Lalanne,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,56,Branden Dawson,6,29,5,4,0,4.8,0.8,0.7,0.0
56,57,Nikola Radičević,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,58,J.P. Tokoto,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,59,Dimitrios Agravanis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,60,Luka Mitrović,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
