,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Andrew Bogut,706,19862,6808,6112,1546,28.1,9.6,8.7,2.2
1,2,Marvin Williams,1066,30041,10941,5511,1369,28.2,10.3,5.2,1.3
2,3,Deron Williams,845,28865,13804,2619,6819,34.2,16.3,3.1,8.1
3,4,Chris Paul,1013,35353,18711,4572,9607,34.9,18.5,4.5,9.5
4,5,Raymond Felton,971,28829,10853,2867,5096,29.7,11.2,3.0,5.2
5,6,Martell Webster,580,13914,5056,1811,588,24.0,8.7,3.1,1.0
6,7,Charlie Villanueva,656,13578,6808,3019,549,20.7,10.4,4.6,0.8
7,8,Channing Frye,890,19772,7786,4002,864,22.2,8.7,4.5,1.0
8,9,Ike Diogu,225,2795,1348,689,69,12.4,6.0,3.1,0.3
9,10,Andrew Bynum,418,10690,4822,3221,490,25.6,11.5,7.7,1.2
10,11,Fran Vázquez,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,12,Yaroslav Korolev,34,168,39,16,13,4.9,1.1,0.5,0.4
12,13,Sean May,119,1868,821,481,115,15.7,6.9,4.0,1.0
13,14,Rashad McCants,249,5037,2479,506,331,20.2,10.0,2.0,1.3
14,15,Antoine Wright,297,5714,1614,681,295,19.2,5.4,2.3,1.0
15,16,Joey Graham,377,6117,2239,1058,207,16.2,5.9,2.8,0.5
16,17,Danny Granger,586,18487,9855,2888,1097,31.5,16.8,4.9,1.9
17,18,Gerald Green,658,13026,6412,1639,596,19.8,9.7,2.5,0.9
18,19,Hakim Warrick,526,10624,4947,2117,400,20.2,9.4,4.0,0.8
19,20,Julius Hodge,23,98,28,15,18,4.3,1.2,0.7,0.8
20,21,Nate Robinson,618,13878,6807,1446,1826,22.5,11.0,2.3,3.0
21,22,Jarrett Jack,867,24140,9349,2487,3952,27.8,10.8,2.9,4.6
22,23,Francisco García,549,11853,4323,1400,747,21.6,7.9,2.6,1.4
23,24,Luther Head,348,7797,2842,845,747,22.4,8.2,2.4,2.1
24,25,Johan Petro,473,7262,2202,1836,227,15.4,4.7,3.9,0.5
25,26,Jason Maxiell,618,11379,3481,2576,266,18.4,5.6,4.2,0.4
26,27,Linas Kleiza,409,8185,3561,1470,321,20.0,8.7,3.6,0.8
27,28,Ian Mahinmi,618,10353,3209,2705,357,16.8,5.2,4.4,0.6
28,29,Wayne Simien,51,507,169,99,11,9.9,3.3,1.9,0.2
29,30,David Lee,829,24293,11232,7320,1825,29.3,13.5,8.8,2.2
30,31,Salim Stoudamire,157,2672,1260,214,164,17.0,8.0,1.4,1.0
31,32,Daniel Ewing,127,1683,431,158,174,13.3,3.4,1.2,1.4
32,33,Brandon Bass,758,16410,6575,3448,608,21.6,8.7,4.5,0.8
33,34,C.J. Miles,848,17282,8108,2011,914,20.4,9.6,2.4,1.1
34,35,Ricky Sanchez,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,36,Ersan İlyasova,801,18718,8267,4606,902,23.4,10.3,5.8,1.1
36,37,Ronny Turiaf,473,8020,2209,1757,618,17.0,4.7,3.7,1.3
37,38,Travis Diener,179,2660,854,243,432,14.9,4.8,1.4,2.4
38,39,Von Wafer,200,2475,1054,234,146,12.4,5.3,1.2,0.7
39,40,Monta Ellis,833,29011,14858,2874,3856,34.8,17.8,3.5,4.6
40,41,Roko Ukić,85,987,341,78,165,11.6,4.0,0.9,1.9
41,42,Chris Taft,17,144,47,36,2,8.5,2.8,2.1,0.1
42,43,Mile Ilić,5,6,0,1,0,1.2,0.0,0.2,0.0
43,44,Martynas Andriuškevičius,6,9,0,4,0,1.5,0.0,0.7,0.0
44,45,Lou Williams,996,24775,14424,2244,3438,24.9,14.5,2.3,3.5
45,46,Erazem Lorbek,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,47,Bracey Wright,26,325,129,39,20,12.5,5.0,1.5,0.8
47,48,Mickaël Gelabale,145,2348,670,330,115,16.2,4.6,2.3,0.8
48,49,Andray Blatche,564,12462,5706,3024,798,22.1,10.1,5.4,1.4
49,50,Ryan Gomes,487,13463,4926,2239,712,27.6,10.1,4.6,1.5
50,51,Robert Whaley,23,212,49,43,17,9.2,2.1,1.9,0.7
51,52,Axel Hervelle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,53,Orien Greene,131,1555,326,195,155,11.9,2.5,1.5,1.2
53,54,Dijon Thompson,16,93,45,19,3,5.8,2.8,1.2,0.2
54,55,Lawrence Roberts,87,1150,334,310,35,13.2,3.8,3.6,0.4
55,56,Amir Johnson,870,18323,6102,4692,1073,21.1,7.0,5.4,1.2
56,57,Marcin Gortat,806,20691,7951,6407,915,25.7,9.9,7.9,1.1
57,58,Uroš Slokar,20,72,38,14,1,3.6,1.9,0.7,0.1
58,59,Cenk Akyol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,60,Alex Acker,30,234,81,29,16,7.8,2.7,1.0,0.5
