,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,John Wall,573,20545,10879,2483,5282,35.9,19.0,4.3,9.2
1,2,Evan Turner,705,18938,6824,3278,2462,26.9,9.7,4.6,3.5
2,3,Derrick Favors,677,17356,7735,4992,776,25.6,11.4,7.4,1.1
3,4,Wesley Johnson,609,13472,4235,1924,645,22.1,7.0,3.2,1.1
4,5,DeMarcus Cousins,565,18078,12006,6131,1832,32.0,21.2,10.9,3.2
5,6,Ekpe Udoh,384,5694,1353,1100,260,14.8,3.5,2.9,0.7
6,7,Greg Monroe,632,17475,8326,5229,1354,27.7,13.2,8.3,2.1
7,8,Al-Farouq Aminu,688,17264,5248,4170,848,25.1,7.6,6.1,1.2
8,9,Gordon Hayward,634,19533,9682,2766,2191,30.8,15.3,4.4,3.5
9,10,Paul George,646,21646,12863,4132,2162,33.5,19.9,6.4,3.3
10,11,Cole Aldrich,339,3389,1050,1131,183,10.0,3.1,3.3,0.5
11,12,Xavier Henry,185,2905,1050,351,120,15.7,5.7,1.9,0.6
12,13,Ed Davis,665,13221,4197,4427,507,19.9,6.3,6.7,0.8
13,14,Patrick Patterson,673,14172,4527,2694,697,21.1,6.7,4.0,1.0
14,15,Larry Sanders,238,4635,1520,1345,174,19.5,6.4,5.7,0.7
15,16,Luke Babbitt,381,5332,1818,846,224,14.0,4.8,2.2,0.6
16,17,Kevin Séraphin,423,6430,2516,1462,246,15.2,5.9,3.5,0.6
17,18,Eric Bledsoe,626,17427,8899,2488,3026,27.8,14.2,4.0,4.8
18,19,Avery Bradley,571,16143,6712,1670,1012,28.3,11.8,2.9,1.8
19,20,James Anderson,247,4320,1422,560,291,17.5,5.8,2.3,1.2
20,21,Craig Brackins,17,121,30,19,9,7.1,1.8,1.1,0.5
21,22,Elliot Williams,109,1470,537,161,94,13.5,4.9,1.5,0.9
22,23,Trevor Booker,532,10872,3679,2932,566,20.4,6.9,5.5,1.1
23,24,Damion James,39,623,150,131,26,16.0,3.8,3.4,0.7
24,25,Dominique Jones,80,741,246,114,144,9.3,3.1,1.4,1.8
25,26,Quincy Pondexter,355,5530,1609,640,263,15.6,4.5,1.8,0.7
26,27,Jordan Crawford,281,6843,3432,703,883,24.4,12.2,2.5,3.1
27,28,Greivis Vásquez,401,9520,3591,1021,1935,23.7,9.0,2.5,4.8
28,29,Daniel Orton,51,542,143,126,24,10.6,2.8,2.5,0.5
29,30,Lazar Hayward,72,591,207,90,35,8.2,2.9,1.3,0.5
30,31,Tibor Pleiß,12,82,24,15,2,6.8,2.0,1.3,0.2
31,32,Dexter Pittman,50,347,116,89,9,6.9,2.3,1.8,0.2
32,33,Hassan Whiteside,404,10840,5576,4778,277,26.8,13.8,11.8,0.7
33,34,Armon Johnson,47,401,157,49,56,8.5,3.3,1.0,1.2
34,35,Nemanja Bjelica,333,7245,2665,1584,574,21.8,8.0,4.8,1.7
35,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37
36,Darington Hobson,5,39,4,3,6,7.8,0.8,0.6,1.2,38
37,Andy Rautins,5,24,8,1,3,4.8,1.6,0.2,0.6,39
38,Landry Fields,255,6010,1731,1092,419,23.6,6.8,4.3,1.6,40
39,Lance Stephenson,508,11866,4354,2124,1456,23.4,8.6,4.2,2.9,41
40,Jarvis Varnado,37,397,107,72,16,10.7,2.9,1.9,0.4,42
41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,Devin Ebanks
42,63,711,224,122,24,11.3,3.6,1.9,0.4,44,Jerome Jordan
43,65,491,180,132,17,7.6,2.8,2.0,0.3,45,Paulo Prestes
44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,Gani Lawal
45,1,2,0,0,0,2.0,0.0,0.0,0.0,47,NaN
46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,Latavious Williams,NaN
47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,Ryan Richards,NaN
48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,Solomon Alabi,26
49,181,39,61,5,7.0,1.5,2.3,0.2,51,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,Luke Harangody,70,871
51,253,196,36,12.4,3.6,2.8,0.5,53,Pape Sy,3,21
52,7,3,2,7.0,2.3,1.0,0.7,54,Willie Warren,19,134
53,37,12,27,7.1,1.9,0.6,1.4,55,Jeremy Evans,250,2626
54,879,641,107,10.5,3.5,2.6,0.4,56,Hamady N'Diaye,33,157
55,20,25,3,4.8,0.6,0.8,0.1,57,Ryan Reid,5,17
56,8,2,0,3.4,1.6,0.4,0.0,58,Derrick Caracter,41,215
57,81,43,7,5.2,2.0,1.0,0.2,59,NaN,NaN,NaN
58,NaN,NaN,NaN,NaN,NaN,NaN,60,Dwayne Collins,NaN,NaN,NaN
59,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
