,year,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,2000,1,Kenyon Martin,757,23134,9325,5159,1439,30.6,12.3,6.8,1.9
1,2000,2,Stromile Swift,547,10804,4582,2535,275,19.8,8.4,4.6,0.5
2,2000,3,Darius Miles,446,11730,4507,2190,840,26.3,10.1,4.9,1.9
3,2000,4,Marcus Fizer,289,6032,2782,1340,352,20.9,9.6,4.6,1.2
4,2000,5,Mike Miller,1032,27812,10973,4376,2666,26.9,10.6,4.2,2.6
5,2000,6,DerMarr Johnson,344,5930,2121,769,304,17.2,6.2,2.2,0.9
6,2000,7,Chris Mihm,436,8758,3262,2302,223,20.1,7.5,5.3,0.5
7,2000,8,Jamal Crawford,1326,38988,19414,2948,4538,29.4,14.6,2.2,3.4
8,2000,9,Joel Przybilla,592,11733,2293,3665,256,19.8,3.9,6.2,0.4
9,2000,10,Keyon Dooling,728,14134,5067,964,1601,19.4,7.0,1.3,2.2
10,2000,11,Jérôme Moïso,145,1392,386,395,38,9.6,2.7,2.7,0.3
11,2000,12,Etan Thomas,409,7084,2341,1927,149,17.3,5.7,4.7,0.4
12,2000,13,Courtney Alexander,187,4067,1690,409,227,21.7,9.0,2.2,1.2
13,2000,14,Mateen Cleaves,167,1863,609,175,310,11.2,3.6,1.0,1.9
14,2000,15,Jason Collier,151,2178,841,443,51,14.4,5.6,2.9,0.3
15,2000,16,Hedo Türkoğlu,997,26695,11022,3971,2832,26.8,11.1,4.0,2.8
16,2000,17,Desmond Mason,643,19641,7767,2863,1049,30.5,12.1,4.5,1.6
17,2000,18,Quentin Richardson,783,20785,8032,3666,1138,26.5,10.3,4.7,1.5
18,2000,19,Jamaal Magloire,680,14621,4917,4408,386,21.5,7.2,6.5,0.6
19,2000,20,Speedy Claxton,334,8548,3096,830,1441,25.6,9.3,2.5,4.3
20,2000,21,Morris Peterson,711,19366,7628,2483,1090,27.2,10.7,3.5,1.5
21,2000,22,Donnell Harvey,205,3318,1150,827,161,16.2,5.6,4.0,0.8
22,2000,23,DeShawn Stevenson,824,18396,5930,1832,1355,22.3,7.2,2.2,1.6
23,2000,24,Dalibor Bagarić,95,973,251,238,37,10.2,2.6,2.5,0.4
24,2000,25,Jake Tsakalidis,315,5005,1497,1238,101,15.9,4.8,3.9,0.3
25,2000,26,Mamadou N'Diaye,69,858,262,225,8,12.4,3.8,3.3,0.1
26,2000,27,Primož Brezec,342,6192,2452,1327,179,18.1,7.2,3.9,0.5
27,2000,28,Erick Barkley,27,266,77,21,40,9.9,2.9,0.8,1.5
28,2000,29,Mark Madsen,453,5335,975,1157,181,11.8,2.2,2.6,0.4
29,2000,30,Marko Jarić,447,11246,3193,1200,1600,25.2,7.1,2.7,3.6
30,2000,31,Dan Langhi,133,1253,393,199,39,9.4,3.0,1.5,0.3
31,2000,32,A.J. Guyton,80,1246,442,80,147,15.6,5.5,1.0,1.8
32,2000,33,Jake Voskuhl,450,6443,1814,1539,237,14.3,4.0,3.4,0.5
33,2000,34,Khalid El-Amin,50,936,314,81,145,18.7,6.3,1.6,2.9
34,2000,35,Mike Smith,17,180,51,22,10,10.6,3.0,1.3,0.6
35,2000,36,Soumaila Samake,47,303,68,76,5,6.4,1.4,1.6,0.1
36,2000,37,Eddie House,717,12405,5356,1223,1112,17.3,7.5,1.7,1.6
37,2000,38,Eduardo Nájera,619,11213,3052,2307,493,18.1,4.9,3.7,0.8
38,2000,39,Lavor Postell,61,446,195,45,13,7.3,3.2,0.7,0.2
39,2000,40,Hanno Möttölä,155,2360,715,442,75,15.2,4.6,2.9,0.5
40,2000,41,,,,,,,,,,2000
41,42,Olumide Oyedeji,93,587,127,196,11,6.3,1.4,2.1,0.1,2000
42,43,Michael Redd,629,20104,11972,2411,1338,32.0,19.0,3.8,2.1,2000
43,44,Brian Cardinal,456,6477,2108,1050,465,14.2,4.6,2.3,1.0,2000
44,45,Jabari Smith,108,1063,329,178,66,9.8,3.0,1.6,0.6,2000
45,46,,,,,,,,,,2000,47
46,,,,,,,,,,2000,48,
47,,,,,,,,,2000,49,Jason Hart,341
48,5289,1623,567,774,15.5,4.8,1.7,2.3,2000,50,Kaniel Dickens,19
49,85,22,12,2,4.5,1.2,0.6,0.1,2000,51,Igor Rakočević,42
50,244,78,17,33,5.8,1.9,0.4,0.8,2000,52,Ernest Brown,3
51,21,3,6,0,7.0,1.0,2.0,0.0,2000,53,Dan McClintock,6
52,58,18,17,1,9.7,3.0,2.8,0.2,2000,54,,
53,,,,,,,,2000,55,Chris Porter,51,1147
54,440,189,61,22.5,8.6,3.7,1.2,2000,56,,,
55,,,,,,,2000,57,,,,
56,,,,,,2000,58,,,,,
57,,,,,,,,,,,,
