,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Anthony Bennett,151,1905,658,472,77,12.6,4.4,3.1,0.5
1,2,Victor Oladipo,415,13697,7207,1900,1628,33.0,17.4,4.6,3.9
2,3,Otto Porter,413,11078,4550,2037,618,26.8,11.0,4.9,1.5
3,4,Cody Zeller,419,9613,3611,2496,583,22.9,8.6,6.0,1.4
4,5,Alex Len,461,9095,3683,2893,392,19.7,8.0,6.3,0.9
5,6,Nerlens Noel,355,7864,2869,2211,418,22.2,8.1,6.2,1.2
6,7,Ben McLemore,431,10162,3858,1048,461,23.6,9.0,2.4,1.1
7,8,Kentavious Caldwell-Pope,533,15584,6196,1698,872,29.2,11.6,3.2,1.6
8,9,Trey Burke,386,8858,4071,776,1354,22.9,10.5,2.0,3.5
9,10,CJ McCollum,473,14552,8723,1544,1464,30.8,18.4,3.3,3.1
10,11,Michael Carter-Williams,357,9038,3728,1567,1565,25.3,10.4,4.4,4.4
11,12,Steven Adams,525,14091,5140,3989,610,26.8,9.8,7.6,1.2
12,13,Kelly Olynyk,492,10436,4739,2375,915,21.2,9.6,4.8,1.9
13,14,Shabazz Muhammad,278,4772,2504,770,151,17.2,9.0,2.8,0.5
14,15,Giannis Antetokounmpo,522,16983,10435,4627,2250,32.5,20.0,8.9,4.3
15,16,Lucas Nogueira,141,1754,446,388,72,12.4,3.2,2.8,0.5
16,17,Dennis Schröder,494,12607,6968,1401,2254,25.5,14.1,2.8,4.6
17,18,Shane Larkin,256,4880,1399,490,737,19.1,5.5,1.9,2.9
18,19,Sergey Karasev,95,1110,287,140,87,11.7,3.0,1.5,0.9
19,20,Tony Snell,501,11278,3236,1156,582,22.5,6.5,2.3,1.2
20,21,Gorgui Dieng,510,11260,4022,3148,700,22.1,7.9,6.2,1.4
21,22,Mason Plumlee,524,11320,4369,3259,1154,21.6,8.3,6.2,2.2
22,23,Solomon Hill,359,7904,2094,1151,569,22.0,5.8,3.2,1.6
23,24,Tim Hardaway,466,12331,6265,1231,864,26.5,13.4,2.6,1.9
24,25,Reggie Bullock,301,5924,2090,631,342,19.7,6.9,2.1,1.1
25,26,Andre Roberson,295,6651,1356,1188,257,22.5,4.6,4.0,0.9
26,27,Rudy Gobert,468,13803,5458,5125,638,29.5,11.7,11.0,1.4
27,28,Livio Jean-Charles,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,29,Archie Goodwin,165,2396,1040,331,206,14.5,6.3,2.0,1.2
29,30,Nemanja Nedović,24,142,26,15,13,5.9,1.1,0.6,0.5
30,31,Allen Crabbe,381,9125,3453,1073,434,24.0,9.1,2.8,1.1
31,32,Álex Abrines,174,2777,924,248,88,16.0,5.3,1.4,0.5
32,33,Carrick Felix,7,38,19,6,4,5.4,2.7,0.9,0.6
33,34,Isaiah Canaan,235,4799,1913,438,454,20.4,8.1,1.9,1.9
34,35,Glen Rice,16,152,43,24,9,9.5,2.7,1.5,0.6
35,36,Ray McCallum,154,2808,920,306,368,18.2,6.0,2.0,2.4
36,37,Tony Mitchell,21,79,22,26,2,3.8,1.0,1.2,0.1
37,38,Nate Wolters,84,1575,461,185,209,18.8,5.5,2.2,2.5
38,39,Jeff Withey,206,2072,666,518,64,10.1,3.2,2.5,0.3
39,40,Grant Jerrett,8,51,16,9,3,6.4,2.0,1.1,0.4
40,41,Jamaal Franklin,24,174,42,25,9,7.3,1.8,1.0,0.4
41,42,Pierre Jackson,8,84,35,9,19,10.5,4.4,1.1,2.4
42,43,Ricky Ledo,28,277,109,38,21,9.9,3.9,1.4,0.8
43,44,Mike Muscala,348,5377,1946,1096,322,15.5,5.6,3.1,0.9
44,45,Marko Todorović,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,46,Erick Green,52,452,159,37,42,8.7,3.1,0.7,0.8
46,47,Raul Neto,248,3382,1167,313,453,13.6,4.7,1.3,1.8
47,48,Ryan Kelly,163,3125,981,504,215,19.2,6.0,3.1,1.3
48,49,Erik Murphy,24,62,6,8,2,2.6,0.3,0.3,0.1
49,50,James Ennis,339,6768,2167,1082,299,20.0,6.4,3.2,0.9
50,51,Romero Osby,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,52,Lorenzo Brown,103,1185,293,151,183,11.5,2.8,1.5,1.8
52,53,Colton Iverson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,54,Arsalan Kazemi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,55,Joffrey Lauvergne,208,2823,1159,789,180,13.6,5.6,3.8,0.9
55,56,Peyton Siva,24,224,54,14,34,9.3,2.3,0.6,1.4
56,57,Alex Oriakhi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,58,Deshaun Thomas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,59,Bojan Dubljević,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,60,Jānis Timma,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
