,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Yao Ming,486,15818,9247,4494,769,32.5,19.0,9.2,1.6
1,2,Jay Williams,75,1961,714,195,350,26.1,9.5,2.6,4.7
2,3,Mike Dunleavy,986,27340,11048,4211,2185,27.7,11.2,4.3,2.2
3,4,Drew Gooden,790,20127,8653,5618,896,25.5,11.0,7.1,1.1
4,5,Nikoloz Tskitishvili,172,1946,507,307,114,11.3,2.9,1.8,0.7
5,6,Dajuan Wagner,103,2202,964,142,195,21.4,9.4,1.4,1.9
6,7,Nenê Hilário,965,25237,10909,5828,1719,26.2,11.3,6.0,1.8
7,8,Chris Wilcox,628,12474,5150,3076,455,19.9,8.2,4.9,0.7
8,9,Amar'e Stoudemire,846,26254,15994,6632,1050,31.0,18.9,7.8,1.2
9,10,Caron Butler,881,28333,12430,4387,2007,32.2,14.1,5.0,2.3
10,11,Jared Jeffries,629,13579,3003,2563,798,21.6,4.8,4.1,1.3
11,12,Melvin Ely,375,6005,1992,1215,261,16.0,5.3,3.2,0.7
12,13,Marcus Haislip,89,854,311,131,16,9.6,3.5,1.5,0.2
13,14,Fred Jones,430,10299,3206,958,990,24.0,7.5,2.2,2.3
14,15,Boštjan Nachbar,317,5628,2252,836,283,17.8,7.1,2.6,0.9
15,16,Jiří Welsch,247,4596,1519,602,375,18.6,6.1,2.4,1.5
16,17,Juan Dixon,436,8509,3678,816,775,19.5,8.4,1.9,1.8
17,18,Curtis Borchardt,83,1117,258,278,64,13.5,3.1,3.3,0.8
18,19,Ryan Humphrey,85,772,197,189,18,9.1,2.3,2.2,0.2
19,20,Kareem Rush,346,5956,2213,572,353,17.2,6.4,1.7,1.0
20,21,Qyntel Woods,167,2060,691,385,105,12.3,4.1,2.3,0.6
21,22,Casey Jacobsen,287,5320,1488,516,304,18.5,5.2,1.8,1.1
22,23,Tayshaun Prince,1017,31576,11272,4332,2406,31.0,11.1,4.3,2.4
23,24,Nenad Krstić,419,10547,4210,2261,346,25.2,10.0,5.4,0.8
24,25,Frank Williams,86,952,253,77,166,11.1,2.9,0.9,1.9
25,26,John Salmons,895,23672,8292,2603,2183,26.4,9.3,2.9,2.4
26,27,Chris Jefferies,72,861,281,88,29,12.0,3.9,1.2,0.4
27,28,Dan Dickau,300,4617,1745,405,752,15.4,5.8,1.4,2.5
28,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31
29,Roger Mason,518,9147,3289,897,677,17.7,6.3,1.7,1.3,32
30,Robert Archibald,44,328,51,69,16,7.5,1.2,1.6,0.4,33
31,Vincent Yarbrough,59,1381,406,162,130,23.4,6.9,2.7,2.2,34
32,Dan Gadzuric,527,7793,2465,2326,196,14.8,4.7,4.4,0.4,35
33,Carlos Boozer,861,26901,13976,8192,1928,31.2,16.2,9.5,2.2,36
34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,David Andersen
35,103,1264,501,292,57,12.3,4.9,2.8,0.6,38,Tito Maddox
36,9,35,11,7,5,3.9,1.2,0.8,0.6,39,NaN
37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,Juan Carlos Navarro,82
38,2117,896,210,177,25.8,10.9,2.6,2.2,41,Mario Kasun,73
39,569,198,188,11,7.8,2.7,2.6,0.2,42,Ronald Murray,487
40,11077,4817,1006,1096,22.7,9.9,2.1,2.3,43,NaN,NaN
41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,Lonny Baxter,162,1884
42,637,477,40,11.6,3.9,2.9,0.2,45,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN,NaN,NaN,46,Matt Barnes,929,21967,7589
44,4281,1691,23.6,8.2,4.6,1.8,47,Jamal Sampson,72,631,142
45,242,26,8.8,2.0,3.4,0.4,48,Chris Owens,1,6,4
46,1,0,6.0,4.0,1.0,0.0,49,NaN,NaN,NaN,NaN
47,NaN,NaN,NaN,NaN,NaN,50,Darius Songaila,495,9229,3415,1689
48,589,18.6,6.9,3.4,1.2,51,NaN,NaN,NaN,NaN,NaN
49,NaN,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,53,Rasual Butler,809,17219,6092,1934,658,21.3
51,7.5,2.4,0.8,54,Tamar Slay,66,517,173,70,31,7.8
52,2.6,1.1,0.5,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,NaN,NaN,56,Luis Scola,743,19001,8882,4941,1194,25.6,12.0
54,6.7,1.6,57,Randy Holcomb,4,11,2,1,0,2.8,0.5
55,0.3,0.0,58,Corsley Edwards,10,110,27,25,3,11.0,2.7
56,2.5,0.3,,,,,,,,,
