,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Andrea Bargnani,550,15806,7873,2541,653,28.7,14.3,4.6,1.2
1,2,LaMarcus Aldridge,1003,34518,19599,8360,1985,34.4,19.5,8.3,2.0
2,3,Adam Morrison,161,3278,1200,342,222,20.4,7.5,2.1,1.4
3,4,Tyrus Thomas,402,7932,3093,1938,347,19.7,7.7,4.8,0.9
4,5,Shelden Williams,361,5586,1618,1562,163,15.5,4.5,4.3,0.5
5,6,Brandon Roy,326,11561,6136,1388,1517,35.5,18.8,4.3,4.7
6,7,Randy Foye,752,19279,7729,1686,2112,25.6,10.3,2.2,2.8
7,8,Rudy Gay,939,31175,16062,5535,2066,33.2,17.1,5.9,2.2
8,9,Patrick O'Bryant,90,524,186,127,25,5.8,2.1,1.4,0.3
9,10,Mouhamed Sene,47,260,103,75,1,5.5,2.2,1.6,0.0
10,11,J.J. Redick,890,23085,11589,1828,1800,25.9,13.0,2.1,2.0
11,12,Hilton Armstrong,292,3378,880,766,102,11.6,3.0,2.6,0.3
12,13,Thabo Sefolosha,869,19062,4994,3252,1196,21.9,5.7,3.7,1.4
13,14,Ronnie Brewer,502,11539,3940,1427,828,23.0,7.8,2.8,1.6
14,15,Cedric Simmons,75,705,163,141,14,9.4,2.2,1.9,0.2
15,16,Rodney Carney,299,4600,1778,588,132,15.4,5.9,2.0,0.4
16,17,Shawne Williams,314,5368,1769,945,220,17.1,5.6,3.0,0.7
17,18,Oleksiy Pecherov,111,1044,438,266,20,9.4,3.9,2.4,0.2
18,19,Quincy Douby,143,1535,588,152,93,10.7,4.1,1.1,0.7
19,20,Renaldo Balkman,221,3064,894,769,132,13.9,4.0,3.5,0.6
20,21,Rajon Rondo,873,27103,8909,4131,7215,31.0,10.2,4.7,8.3
21,22,Marcus Williams,203,3095,1128,361,574,15.2,5.6,1.8,2.8
22,23,Josh Boone,256,4482,1340,1258,125,17.5,5.2,4.9,0.5
23,24,Kyle Lowry,908,28682,13381,3905,5623,31.6,14.7,4.3,6.2
24,25,Shannon Brown,408,7329,3118,760,458,18.0,7.6,1.9,1.1
25,26,Jordan Farmar,504,9840,3888,958,1453,19.5,7.7,1.9,2.9
26,27,Sergio Rodríguez,353,5281,1747,525,1183,15.0,4.9,1.5,3.4
27,28,Maurice Ager,82,505,169,46,19,6.2,2.1,0.6,0.2
28,29,Mardy Collins,189,2771,742,336,327,14.7,3.9,1.8,1.7
29,30,Joel Freeland,151,1821,477,518,65,12.1,3.2,3.4,0.4
30,31,James White,67,583,182,68,35,8.7,2.7,1.0,0.5
31,32,Steve Novak,467,5657,2177,591,132,12.1,4.7,1.3,0.3
32,33,Solomon Jones,281,3092,839,654,99,11.0,3.0,2.3,0.4
33,34,Paul Davis,82,702,217,158,32,8.6,2.6,1.9,0.4
34,35,P.J. Tucker,646,18928,4760,3764,925,29.3,7.4,5.8,1.4
35,36,Craig Smith,403,6826,3080,1567,322,16.9,7.6,3.9,0.8
36,37,Bobby Jones,91,867,288,149,44,9.5,3.2,1.6,0.5
37,38,Kosta Perović,7,38,10,13,1,5.4,1.4,1.9,0.1
38,39,David Noel,68,792,184,123,65,11.6,2.7,1.8,1.0
39,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41
40,James Augustine,27,156,42,33,4,5.8,1.6,1.2,0.1,42
41,Daniel Gibson,397,9316,3115,792,775,23.5,7.8,2.0,2.0,43
42,Marcus Vinicius,26,172,50,19,7,6.6,1.9,0.7,0.3,44
43,Lior Eliyahu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45
44,Alexander Johnson,102,1302,439,275,30,12.8,4.3,2.7,0.3,46
45,Dee Brown,68,711,140,69,119,10.5,2.1,1.0,1.8,47
46,Paul Millsap,989,28796,13857,7264,2238,29.1,14.0,7.3,2.3,48
47,Vladimir Veremeenko,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49
48,Leon Powe,239,3320,1484,911,78,13.9,6.2,3.8,0.3,50
49,Ryan Hollins,518,6134,1913,1140,151,11.8,3.7,2.2,0.3,51
50,Cheikh Samb,22,114,22,31,1,5.2,1.0,1.4,0.0,52
51,Guillermo Díaz,6,18,5,2,1,3.0,0.8,0.3,0.2,53
52,Yotam Halperin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54
53,Hassan Adams,73,547,185,84,14,7.5,2.5,1.2,0.2,55
54,Ejike Ugboaja,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56
55,Edin Bavčić,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57
56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,NaN
57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59,Damir Markota,30
58,170,51,31,6,5.7,1.7,1.0,0.2,60,Will Blalock,14
59,166,25,15,17,11.9,1.8,1.1,1.2,,,
