,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,LeBron James,1258,48329,34087,9353,9298,38.4,27.1,7.4,7.4
1,2,Darko Miličić,468,8638,2813,1971,405,18.5,6.0,4.2,0.9
2,3,Carmelo Anthony,1114,39752,26314,7251,3244,35.7,23.6,6.5,2.9
3,4,Chris Bosh,893,31936,17189,7592,1795,35.8,19.2,8.5,2.0
4,5,Dwyane Wade,1054,35773,23165,4933,5701,33.9,22.0,4.7,5.4
5,6,Chris Kaman,735,19642,8208,5582,921,26.7,11.2,7.6,1.3
6,7,Kirk Hinrich,879,27015,9594,2576,4245,30.7,10.9,2.9,4.8
7,8,T.J. Ford,429,11882,4797,1331,2495,27.7,11.2,3.1,5.8
8,9,Mike Sweetney,233,3610,1516,1045,145,15.5,6.5,4.5,0.6
9,10,Jarvis Hayes,427,9898,3553,1330,459,23.2,8.3,3.1,1.1
10,11,Mickaël Piétrus,557,11950,4629,1723,445,21.5,8.3,3.1,0.8
11,12,Nick Collison,910,18603,5359,4701,939,20.4,5.9,5.2,1.0
12,13,Marcus Banks,348,5571,2061,519,728,16.0,5.9,1.5,2.1
13,14,Luke Ridnour,830,21623,7740,1877,3713,26.1,9.3,2.3,4.5
14,15,Reece Gaines,71,605,123,53,50,8.5,1.7,0.7,0.7
15,16,Troy Bell,6,34,11,4,4,5.7,1.8,0.7,0.7
16,17,Žarko Čabarkapa,150,1550,640,312,85,10.3,4.3,2.1,0.6
17,18,David West,1034,29144,14034,6590,2273,28.2,13.6,6.4,2.2
18,19,Sasha Pavlović,567,8888,2787,1000,517,15.7,4.9,1.8,0.9
19,20,Dahntay Jones,624,9799,3353,1082,529,15.7,5.4,1.7,0.8
20,21,Boris Diaw,1064,28768,9139,4634,3684,27.0,8.6,4.4,3.5
21,22,Zoran Planinić,148,1584,561,198,165,10.7,3.8,1.3,1.1
22,23,Travis Outlaw,622,13026,5273,1974,514,20.9,8.5,3.2,0.8
23,24,Brian Cook,421,5649,2312,1115,252,13.4,5.5,2.6,0.6
24,25,Carlos Delfino,507,11580,4115,1815,887,22.8,8.1,3.6,1.7
25,26,Ndudi Ebi,19,86,40,19,4,4.5,2.1,1.0,0.2
26,27,Kendrick Perkins,782,17162,4214,4532,813,21.9,5.4,5.8,1.0
27,28,Leandro Barbosa,850,18386,9035,1720,1775,21.6,10.6,2.0,2.1
28,29,Josh Howard,507,15350,7270,2886,817,30.3,14.3,5.7,1.6
29,30,Maciej Lampe,64,632,215,142,22,9.9,3.4,2.2,0.3
30,31,Jason Kapono,509,9068,3398,844,417,17.8,6.7,1.7,0.8
31,32,Luke Walton,564,9685,2649,1588,1317,17.2,4.7,2.8,2.3
32,33,Jerome Beasley,2,5,2,1,0,2.5,1.0,0.5,0.0
33,34,Sofoklis Schortsanitis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,35,Szymon Szewczyk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,36,Mario Austin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,37,Travis Hansen,41,507,123,70,19,12.4,3.0,1.7,0.5
37,38,Steve Blake,870,20823,5662,1816,3446,23.9,6.5,2.1,4.0
38,39,Slavko Vraneš,1,3,0,0,0,3.0,0.0,0.0,0.0
39,40,Derrick Zimmerman,2,32,4,4,7,16.0,2.0,2.0,3.5
40,41,Willie Green,731,14783,6059,1303,1018,20.2,8.3,1.8,1.4
41,42,Zaza Pachulia,1098,22240,7414,6315,1433,20.3,6.8,5.8,1.3
42,43,Keith Bogans,671,14527,4257,1817,866,21.6,6.3,2.7,1.3
43,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45
44,Matt Bonner,792,13356,4632,2371,552,16.9,5.8,3.0,0.7,46
45,Sani Bečirovič,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47
46,Mo Williams,818,23872,10759,2264,3990,29.2,13.2,2.8,4.9,48
47,James Lang,11,55,11,11,2,5.0,1.0,1.0,0.2,49
48,James Jones,709,11098,3717,1276,366,15.7,5.2,1.8,0.5,50
49,Paccelis Morlende,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51
50,Kyle Korver,1224,31056,11903,3625,2107,25.4,9.7,3.0,1.7,52
51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN
52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,Nedžad Sinanović,NaN
53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,NaN,NaN
54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,Brandon Hunter,67,630
55,220,187,22,9.4,3.3,2.8,0.3,57,Xue Yuyang,NaN,NaN
56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,Andreas Glyniadakis,13,81
57,17,8,1,6.2,1.3,0.6,0.1,,,,
